token_position,cluster,cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob
0,1,0.0,1.0,5.375678188469947e-16,0.0
1,0,1.0,0.0,0.0,0.0
2,1,0.0,1.0,0.0,0.0
3,1,0.0,1.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0
5,0,1.0,0.0,0.0,0.0
6,0,1.0,0.0,0.0,0.0
7,3,0.0,0.0,0.0,1.0
8,0,1.0,0.0,0.0,0.0
9,1,0.0,1.0,0.0,0.0
10,1,0.0,1.0,0.0,0.0
11,1,0.0,1.0,0.0,0.0
12,1,0.0,1.0,1.888846601908172e-182,0.0
13,1,0.0,1.0,0.0,0.0
14,1,0.0,1.0,0.0,0.0
15,3,0.0,0.0,0.0,1.0
16,0,1.0,0.0,0.0,0.0
17,2,0.0,0.0,1.0,0.0
18,2,0.0,0.0,1.0,0.0
19,1,0.0,1.0,0.0,0.0
20,1,0.0,1.0,0.0,0.0
21,0,1.0,0.0,0.0,0.0
22,0,1.0,0.0,0.0,0.0
23,2,0.0,1.2540434779543537e-233,1.0,0.0
24,1,0.0,1.0,0.0,0.0
25,2,0.0,0.0,1.0,0.0
26,2,0.0,0.0,1.0,0.0
27,3,0.0,0.0,0.0,1.0
28,0,1.0,0.0,0.0,0.0
29,1,0.0,1.0,1.4379918325969587e-84,0.0
30,1,0.0,1.0,0.0,0.0
31,2,0.0,0.0,1.0,0.0
32,3,0.0,0.0,0.0,1.0
33,1,0.0,1.0,0.0,0.0
34,1,0.0,1.0,0.0,0.0
35,0,1.0,0.0,0.0,0.0
36,1,0.0,1.0,0.0,0.0
37,0,1.0,0.0,0.0,0.0
38,1,0.0,1.0,0.0,0.0
39,2,0.0,9.870759362592903e-242,1.0,0.0
40,1,0.0,1.0,0.0,0.0
41,2,0.0,0.0,1.0,0.0
42,2,0.0,0.0,1.0,0.0
43,0,1.0,0.0,0.0,0.0
44,2,0.0,5.725257492519646e-242,1.0,0.0
45,2,0.0,1.2087257e-317,1.0,0.0
46,0,1.0,0.0,0.0,0.0
47,1,0.0,1.0,0.0,0.0
48,0,1.0,0.0,0.0,0.0
49,1,0.0,1.0,0.0,0.0
50,1,0.0,1.0,0.0,0.0
51,1,0.0,1.0,0.0,0.0
52,2,0.0,0.0,1.0,0.0
53,0,1.0,0.0,0.0,0.0
54,1,0.0,1.0,0.0,0.0
55,1,0.0,1.0,0.0,0.0
56,1,0.0,1.0,0.0,0.0
57,1,0.0,1.0,0.0,0.0
58,2,0.0,0.0,1.0,0.0
59,2,0.0,0.0,1.0,0.0
60,0,1.0,0.0,0.0,0.0
61,2,0.0,0.0,1.0,0.0
62,1,0.0,1.0,0.0,0.0
63,2,0.0,1.263927867510427e-132,1.0,0.0
64,0,1.0,0.0,0.0,0.0
65,1,0.0,1.0,0.0,0.0
66,2,0.0,0.0,1.0,0.0
67,1,0.0,1.0,0.0,0.0
68,2,0.0,3.048279485360045e-191,1.0,0.0
69,1,0.0,1.0,0.0,0.0
70,1,0.0,1.0,0.0,0.0
71,1,0.0,1.0,0.0,0.0
72,2,0.0,7.834895342101762e-179,1.0,0.0
73,0,1.0,0.0,0.0,0.0
74,2,0.0,0.0,1.0,0.0
75,1,0.0,1.0,0.0,0.0
76,2,0.0,0.0,1.0,0.0
77,1,0.0,1.0,6.981501010576524e-251,0.0
78,1,0.0,1.0,0.0,0.0
79,3,0.0,0.0,0.0,1.0
80,2,0.0,8.690508569204053e-300,1.0,0.0
81,0,1.0,0.0,0.0,0.0
82,2,0.0,0.0,1.0,0.0
83,1,0.0,1.0,0.0,0.0
84,2,0.0,6.967956815037325e-243,1.0,0.0
85,2,0.0,0.0,1.0,0.0
86,1,0.0,1.0,0.0,0.0
87,0,1.0,0.0,0.0,0.0
88,0,1.0,0.0,0.0,0.0
89,1,0.0,1.0,0.0,0.0
90,0,1.0,0.0,0.0,0.0
91,2,0.0,5.821478248064668e-258,1.0,0.0
92,1,0.0,1.0,0.0,0.0
93,3,0.0,0.0,0.0,1.0
94,3,0.0,0.0,0.0,1.0
95,0,1.0,0.0,0.0,0.0
96,2,0.0,0.0,1.0,0.0
97,1,0.0,1.0,0.0,0.0
98,1,0.0,1.0,0.0,0.0
99,2,0.0,6.681277993222857e-246,1.0,0.0
100,1,0.0,1.0,0.0,0.0
101,1,0.0,1.0,0.0,0.0
102,1,0.0,1.0,0.0,0.0
103,1,0.0,1.0,0.0,0.0
104,3,0.0,0.0,0.0,1.0
105,1,0.0,1.0,0.0,0.0
106,0,1.0,0.0,0.0,0.0
107,2,0.0,0.0,1.0,0.0
108,1,0.0,1.0,0.0,0.0
109,2,0.0,0.0,1.0,0.0
110,1,0.0,1.0,0.0,0.0
111,1,0.0,1.0,0.0,0.0
112,2,0.0,0.0,1.0,0.0
113,1,0.0,1.0,0.0,0.0
114,1,0.0,1.0,0.0,0.0
115,1,0.0,1.0,0.0,0.0
116,0,1.0,0.0,0.0,0.0
117,1,0.0,1.0,0.0,0.0
118,1,0.0,1.0,0.0,0.0
119,1,0.0,1.0,0.0,0.0
120,1,0.0,1.0,0.0,0.0
121,2,0.0,0.0,1.0,0.0
122,1,0.0,1.0,0.0,0.0
123,2,0.0,7.20888779145e-313,1.0,0.0
124,2,0.0,0.0,1.0,0.0
125,1,0.0,1.0,0.0,0.0
126,1,0.0,1.0,0.0,0.0
127,2,0.0,0.0,1.0,0.0
128,1,0.0,1.0,0.0,0.0
129,2,0.0,2.2093313347702113e-255,1.0,0.0
130,0,1.0,0.0,0.0,0.0
131,2,0.0,0.0,1.0,0.0
132,3,0.0,0.0,0.0,1.0
133,1,0.0,1.0,0.0,0.0
134,2,0.0,0.0,1.0,0.0
135,3,0.0,0.0,0.0,1.0
136,2,0.0,1.0598584345998632e-257,1.0,0.0
137,0,1.0,0.0,0.0,0.0
138,0,1.0,0.0,0.0,0.0
139,1,0.0,1.0,0.0,0.0
140,0,1.0,0.0,0.0,0.0
141,1,0.0,1.0,0.0,0.0
142,1,0.0,1.0,0.0,0.0
143,0,1.0,0.0,0.0,0.0
144,2,0.0,0.0,1.0,0.0
145,0,1.0,0.0,0.0,0.0
146,1,0.0,1.0,0.0,0.0
147,0,1.0,0.0,0.0,0.0
148,1,0.0,1.0,0.0,0.0
149,1,0.0,1.0,0.0,0.0
150,2,0.0,0.0,1.0,0.0
151,2,0.0,0.0,1.0,0.0
152,1,0.0,1.0,0.0,0.0
153,2,0.0,0.0,1.0,0.0
154,1,0.0,1.0,0.0,0.0
155,0,1.0,0.0,0.0,0.0
156,0,1.0,0.0,0.0,0.0
157,2,0.0,0.0,1.0,0.0
158,1,0.0,1.0,0.0,0.0
159,2,0.0,0.0,1.0,0.0
160,3,0.0,0.0,0.0,1.0
161,1,0.0,1.0,0.0,0.0
162,0,1.0,0.0,0.0,0.0
163,1,0.0,1.0,0.0,0.0
164,1,0.0,1.0,0.0,0.0
165,1,0.0,1.0,0.0,0.0
166,2,0.0,0.0,1.0,0.0
167,1,0.0,1.0,0.0,0.0
