GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,SHOT_RESULT,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,FGM,PTS,player_name,player_id
21400899,"MAR 04, 2015 - CHA @ BKN",A,W,24,3,1,0:00,,3,2.7,10.1,2,missed,"Bogdanovic, Bojan",202711,0.9,0,0,brian roberts,203148
21400845,"FEB 25, 2015 - CHA @ CHI",A,W,12,6,2,0:04,,0,0.7,25.2,3,missed,"Butler, Jimmy",202710,3.6,0,0,brian roberts,203148
21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1,14,4,0:01,,5,3.7,34.4,3,missed,"Hill, George",201588,3.6,0,0,brian roberts,203148
21400742,"FEB 05, 2015 - CHA vs. WAS",H,W,7,10,3,0:01,,2,3.6,13.1,2,made,"Butler, Rasual",2446,2.5,1,2,brian roberts,203148
21400611,"JAN 19, 2015 - CHA vs. MIN",H,W,25,7,2,0:02,,5,5.0,12.0,2,missed,"Williams, Mo",2590,4.0,0,0,brian roberts,203148
21400611,"JAN 19, 2015 - CHA vs. MIN",H,W,25,12,3,0:03,,2,2.3,17.9,2,missed,"Daniels, Troy",203584,2.7,0,0,brian roberts,203148
21400600,"JAN 17, 2015 - CHA vs. IND",H,W,9,7,2,0:03,,2,1.7,10.4,2,made,"Sloan, Donald",202388,2.7,1,2,brian roberts,203148
21400600,"JAN 17, 2015 - CHA vs. IND",H,W,9,11,3,0:01,,6,4.6,18.3,2,missed,"Rudez, Damjan",204014,2.2,0,0,brian roberts,203148
21400478,"DEC 31, 2014 - CHA @ HOU",A,L,-19,7,4,0:13,,3,3.3,27.1,3,missed,"Canaan, Isaiah",203477,5.6,0,0,brian roberts,203148
21400423,"DEC 23, 2014 - CHA @ MIL",A,W,7,1,1,0:01,,2,1.4,32.9,3,missed,"Dudley, Jared",201162,4.1,0,0,brian roberts,203148
21400263,"DEC 03, 2014 - CHA vs. CHI",H,L,-7,1,1,0:01,,4,3.4,41.6,3,missed,"Brooks, Aaron",201166,6.0,0,0,brian roberts,203148
21400263,"DEC 03, 2014 - CHA vs. CHI",H,L,-7,4,2,0:06,,20,16.5,4.9,2,missed,"Gasol, Pau",2200,3.5,0,0,brian roberts,203148
21400195,"NOV 23, 2014 - CHA @ MIA",A,L,-1,2,1,0:00,,0,0.6,23.9,3,missed,"Napier, Shabazz",203894,3.6,0,0,brian roberts,203148
21400160,"NOV 19, 2014 - CHA @ IND",A,L,-2,3,1,0:04,,0,0.8,24.8,3,made,"Stuckey, Rodney",201155,4.2,1,3,brian roberts,203148
21400071,"NOV 07, 2014 - CHA vs. ATL",H,W,3,1,1,0:02,,7,7.4,22.1,2,missed,"Scott, Mike",203118,3.8,0,0,brian roberts,203148
21400237,"NOV 29, 2014 - CHA @ ATL",A,L,-30,1,1,0:03,,0,1.5,3.2,2,missed,"Brand, Elton",1882,1.9,0,0,bismack biyombo,202687
21400827,"FEB 22, 2015 - CHA @ DAL",A,L,-11,16,4,0:08,,2,4.4,9.7,2,missed,"Aminu, Al-Farouq",202329,2.5,0,0,al jefferson,2744
21400816,"FEB 21, 2015 - CHA vs. OKC",H,L,-7,18,4,0:06,,0,0.9,22.6,3,made,"McGary, Mitch",203956,5.9,1,3,al jefferson,2744
21400768,"FEB 08, 2015 - CHA vs. IND",H,L,-1,9,2,0:02,,1,2.5,8.2,2,missed,"Hill, George",201588,2.5,0,0,al jefferson,2744
21400355,"DEC 15, 2014 - CHA @ CLE",A,L,-9,13,4,0:17,,0,1.0,27.9,2,made,"Marion, Shawn",1890,7.0,1,2,al jefferson,2744
21400237,"NOV 29, 2014 - CHA @ ATL",A,L,-30,7,2,0:01,,0,0.9,23.7,3,missed,"Teague, Jeff",201952,6.8,0,0,al jefferson,2744
21400195,"NOV 23, 2014 - CHA @ MIA",A,L,-1,17,4,0:02,,0,-2.3,1.3,2,missed,"Williams, Shawne",200761,1.3,0,0,al jefferson,2744
21400097,"NOV 09, 2014 - CHA @ LAL",A,L,-15,12,2,0:08,,0,0.6,3.2,2,missed,"Johnson, Wesley",202325,1.9,0,0,al jefferson,2744
21400713,"JAN 31, 2015 - CHA @ DEN",A,W,18,8,1,0:06,,0,0.8,0.9,2,made,"McGee, JaVale",201580,4.1,1,2,cody zeller,203469
21400224,"NOV 28, 2014 - CHA vs. GSW",H,L,-5,7,4,0:08,,0,0.9,1.1,2,missed,"Green, Draymond",203110,0.5,0,0,cody zeller,203469
21400224,"NOV 28, 2014 - CHA vs. GSW",H,L,-5,8,4,0:07,,0,0.7,5.3,2,made,"Green, Draymond",203110,2.3,1,2,cody zeller,203469
